model,epoch,train_ppl,val_ppl,epoch_wall_s,train_s,val_s,cumulative_wall_s,tokens_per_sec
GNA,1,819.1479,353.6999,12.68,10.98,1.70,12.68,83575
GNA,2,291.2698,257.8378,3.13,3.04,0.09,15.81,301480
GNA,3,223.5764,227.6236,3.11,3.02,0.09,18.92,303482
GNA,4,192.7818,212.5442,3.12,3.04,0.09,22.05,302221
GNA,5,174.4205,204.5949,3.11,3.03,0.09,25.16,303274
GNA,6,162.2136,198.9222,3.10,3.02,0.08,28.27,303915
GNA,7,152.7778,195.3002,3.10,3.02,0.08,31.38,303903
GNA,8,145.5452,192.5282,3.08,3.00,0.09,34.46,306187
GNA,9,139.2601,191.2633,3.14,3.06,0.08,37.61,300016
GNA,10,134.4258,190.6317,3.18,3.10,0.08,40.79,296228
GNA,11,129.9742,189.8660,3.12,3.03,0.09,43.92,302768
GNA,12,126.2873,190.2223,3.13,3.04,0.09,47.05,301477
GNA,13,123.0241,190.7586,3.15,3.06,0.09,50.20,299616
GNA,14,119.8662,191.0857,3.23,3.14,0.09,53.43,292157
GNA,15,117.3414,191.3861,3.18,3.09,0.09,56.61,296635
GNA,16,114.9368,191.8520,3.17,3.09,0.09,59.79,297369
Transformer,1,803.6644,490.3424,12.58,10.91,1.67,12.58,84086
Transformer,2,405.1774,332.1819,5.72,5.52,0.20,18.30,166165
Transformer,3,291.0559,262.0931,5.68,5.48,0.20,23.98,167406
Transformer,4,230.1748,220.9837,5.68,5.48,0.20,29.67,167358
Transformer,5,190.0747,191.8608,5.76,5.54,0.22,35.43,165725
Transformer,6,159.0415,170.6205,5.65,5.45,0.20,41.08,168285
Transformer,7,134.1717,151.7199,5.64,5.45,0.20,46.73,168455
Transformer,8,113.9419,139.3893,5.74,5.54,0.20,52.47,165552
Transformer,9,97.8214,130.0977,5.69,5.49,0.20,58.16,167184
Transformer,10,84.4721,122.8606,5.65,5.45,0.20,63.82,168197
Transformer,11,73.8121,119.5505,5.67,5.47,0.20,69.49,167732
Transformer,12,64.5593,116.4505,5.69,5.48,0.21,75.18,167522
Transformer,13,56.8542,115.5372,5.72,5.51,0.21,80.90,166599
Transformer,14,50.1250,116.7567,5.73,5.52,0.20,86.63,166077
Transformer,15,44.4277,118.1613,5.68,5.48,0.20,92.32,167339
Transformer,16,39.4688,121.7711,5.70,5.50,0.20,98.02,166702
Transformer,17,34.9316,124.9837,5.85,5.65,0.20,103.88,162258
Transformer,18,31.1737,130.9430,5.87,5.66,0.21,109.75,162031
